id, !, !=, #, &&, (, ), *, +, comma, -, /, ;, <, <=, =, ==, >, >=, UFLOAT, UINT, do, double, id, if, int, printf, scanf, then, while, {, ||, }, ANDITEM, ASSIGN, B, BANDTERM, BFACTOR, BORTERM, EXPR, FACTOR, ID, ITEM, L, M, MUL_DIV, N, NOITEM, ORITEM, PLUS_MINUS, PRINTF, PRINTF_BEGIN, PROG, REL, RELITEM, S', SCANF, SCANF_BEGIN, STATEMENT, SUBPROG, T, VARIABLE, VARIABLES
0, , , , , , , , , , , , , , , , , , , , , , r2 , , , r2 , , , , , , , , , , , , , , , , , , , 1 , , , , , , , , 2 , , , , , , , 3 , , , 
1, , , , , , , , , , , , , , , , , , , , , , s7 , , , s8 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 4 , 5 , 6 
2, , , acc , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3, , , r0 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4, , , , , , , , , , , , , , , , , , , , , , , s10 , , , , , , , , , , , , , , , , , , 9 , , , , , , , , , , , , , , , , , , , , , 
5, , , , , , , , , s11 , , , s12 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
6, , , r14 , , , , , , , , , , , , , , , , , , , s7 , s21 , s22 , s8 , s23 , s24 , , s25 , s26 , , , , 13 , , , , , , , 14 , , , , , , , , , 15 , 16 , , , , , 17 , 18 , 19 , , 4 , 20 , 
7, , , , , , , , , , , , , , , , , , , , , , , r7 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
8, , , , , , , , , , , , , , , , , , , , , , , r6 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
9, , , , , , , , , r9 , , , r9 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
10, , , , , , , , , r8 , , , r8 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11, , , , , , , , , , , , , , , , , , , , , , , s10 , , , , , , , , , , , , , , , , , , 27 , , , , , , , , , , , , , , , , , , , , , 
12, , , r5 , , , , , , , , , , , , , , , , , , , r5 , r5 , r5 , r5 , r5 , r5 , , r5 , r5 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
13, , , r11 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
14, , , , , , , , , , , , , , , s28 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
15, , , r13 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
16, , , , , , s29 , , , s30 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
17, , , r12 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
18, , , , , , s31 , , , s32 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
19, , , r1 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
